pipeline,acc,f1_macro,auc_ovr,auc_cv,rec_akiec,rec_bcc,rec_mel
multimodal,0.6173340091231627,0.29012151377282075,0.7634178377869617,,0.2911392405063291,0.2857142857142857,0.27358490566037735
imageonly,0.676634566649772,0.31342092616678946,0.8152115655184892,,0.1518987341772152,0.37362637362637363,0.2783018867924528
imgbalanced,0.7045108971109985,0.40241609959355806,0.8679840051395117,,0.17721518987341772,0.45054945054945056,0.2971698113207547
imageonlybalanced,0.6877850988342625,0.37301700692766016,0.8531647759789852,,0.189873417721519,0.34065934065934067,0.20754716981132076
CAMPEA: img isolada bal. + clinico one-hot,0.7131272174353775,0.4094070978044281,0.8833023727630243,0.892 ± 0.012,0.20253164556962025,0.37362637362637363,0.2688679245283019
