config,acc,f1_macro,recall_mel,recall_bcc,auc_ovr
multimodal (img+clin),0.6173340091231627,0.29012151377282075,0.27358490566037735,0.2857142857142857,0.7634178377869617
image-only (GAP 1536),0.6791687785098834,0.38112491903595574,0.4009433962264151,0.4725274725274725,0.8402329953735074
clinical-only (3),0.45210339584389253,0.22601766275125418,0.25943396226415094,0.26373626373626374,0.7443315668801433
image-only (modelo treinado sem clinico),0.676634566649772,0.31342092616678946,0.2783018867924528,0.37362637362637363,0.8152115655184892
