config,age,sex,loc,acc,f1,auc,rec_mel,rec_bcc,rec_nv
"Baseline (1,1,1)",1.0,1.0,1.0,0.6694957563654518,0.11970320303572643,0.7302709913573687,0.017937219730941704,0.0,0.9970171513795675
"Pedido (0.5,0.5,2.0)",0.5,0.5,2.0,0.6430354468297553,0.13239315115073094,0.5763163930229435,0.004484304932735426,0.0,0.9425801640566741
"Agressivo loc (0.1,0.1,5)",0.1,0.1,5.0,0.3050424363454818,0.0952225314685023,0.5128138307156034,0.03587443946188341,0.0,0.38105891126025354
"Sem age (0,1,1)",0.0,1.0,1.0,0.6694957563654518,0.11457621326042379,0.6802843162034715,0.0,0.0,1.0
"Sem clinica (0,0,0)",0.0,0.0,0.0,0.6694957563654518,0.11457621326042379,0.47399666663417583,0.0,0.0,1.0
"So age (1,0,0)",1.0,0.0,0.0,0.6694957563654518,0.11457621326042379,0.6288142277637052,0.0,0.0,1.0
