Classificador,Variante,Acc,F1_Macro,Recall_mel,Recall_bcc
XGBoost,Base,0.6824762855716425,0.2896659784380163,0.242152466367713,0.07766990291262135
XGBoost,SMOTE,0.6585122316525213,0.3151787621545609,0.3273542600896861,0.14563106796116504
Random Forest,Base,0.6894658012980529,0.29098465351956976,0.21076233183856502,0.0970873786407767
Random Forest,SMOTE,0.6570144782825761,0.30737707712837964,0.3452914798206278,0.14563106796116504
SVM,Base,0.6849725411882177,0.15858327696008773,0.0,0.0
SVM,SMOTE,0.45731402895656514,0.22575759105942014,0.16143497757847533,0.2815533980582524
Naive Bayes,Base,0.16674987518721918,0.11319550928253996,0.04035874439461883,0.0970873786407767
Naive Bayes,SMOTE,0.19021467798302547,0.12000116636311377,0.026905829596412557,0.1262135922330097
