Classificador,R_mel,R_mel_lo,R_mel_hi,R_bcc,R_bcc_lo,R_bcc_hi,F1,F1_lo,F1_hi
XGBoost,0.2420271285388896,0.18571060382916055,0.2981671495251891,0.07643348880658311,0.02857142857142857,0.12933845577211392,0.287694797726383,0.25870914295721253,0.32102709007305114
Random Forest,0.210896260178524,0.1581140350877193,0.2685282446311858,0.09769187486251246,0.04210305174701459,0.16071428571428573,0.2899914863310942,0.2618707066384258,0.3195976685877539
SVM,0.0,0.0,0.0,0.0,0.0,0.0,0.15854021247214672,0.1494511022345937,0.1675250359856925
Naive Bayes,0.04029243413619264,0.014849656147880797,0.06997978804763463,0.09756640611597046,0.044420289855072466,0.15930973451327432,0.11314223752699928,0.09840033475060887,0.12951834382501343
