Classificador,Acc_mean,Acc_std,F1_mean,F1_std,AUC_mean,AUC_std
XGBoost,0.6853333333333333,0.009273618495495682,0.2961343411355987,0.029123982483010825,0.7973848627633018,0.01507633928955271
Random Forest,0.6863333333333335,0.007180219742845997,0.30060715399346954,0.03528620667097197,0.7625825723111394,0.0192224943180374
SVM,0.6839999999999999,0.00309120616516522,0.15415807428634992,0.006921569872920723,0.7093030226367625,0.02040610710974851
Naive Bayes,0.2006666666666667,0.02430363484474424,0.1270762047239189,0.007402206254276223,,
